股票代码,买入日期,买入价格,卖出日期,卖出价格,持仓天数,收益率,卖出原因
603496,2024-04-25,26.4,2024-04-26,28.49,1,0.0775666666666666,Maximum_Holding_Period
603496,2025-04-15,25.77,2025-04-16,24.481499999999997,1,-0.05160000000000015,Extreme_Risk_Stop
603496,2026-02-11,29.38,2026-02-12,30.2,1,0.026310142954390648,Maximum_Holding_Period
603500,2021-02-08,11.51,2021-02-09,10.9345,1,-0.05160000000000004,Extreme_Risk_Stop
603500,2021-02-23,11.75,2021-02-24,12.09,1,0.027336170212765954,Maximum_Holding_Period
603501,2020-03-26,145.0,2020-03-27,149.3,1,0.02805517241379323,Maximum_Holding_Period
603505,2021-10-25,41.56,2021-10-26,44.26,1,0.06336631376323369,Maximum_Holding_Period
603505,2026-07-28,16.0,2026-07-29,16.09,1,0.004024999999999991,Maximum_Holding_Period
603507,2024-07-29,22.71,2024-07-30,21.5745,1,-0.05160000000000004,Extreme_Risk_Stop
603507,2026-08-06,24.2,2026-08-07,24.48,1,0.009970247933884391,Maximum_Holding_Period
603516,2023-07-20,17.93,2023-07-21,17.72,1,-0.01331221416620194,Maximum_Holding_Period
603516,2025-04-16,38.0,2025-04-17,38.6,1,0.014189473684210575,Trend_Break_Stop
603516,2026-07-28,92.66,2026-07-29,92.93,1,0.0013138786963092135,Maximum_Holding_Period
603517,2021-03-19,73.54,2021-03-22,74.05,1,0.005335001359803961,Maximum_Holding_Period
603520,2022-04-29,42.69,2022-05-05,45.97,1,0.07523298196298893,Maximum_Holding_Period
603520,2022-05-06,44.5,2022-05-09,47.78,1,0.07210786516853944,Maximum_Holding_Period
603527,2022-05-06,8.45,2022-05-09,8.42,1,-0.0051502958579880504,Maximum_Holding_Period
603530,2022-05-05,9.86,2022-05-06,10.03,1,0.01564137931034475,Maximum_Holding_Period
603533,2022-05-05,13.33,2022-05-06,13.21,1,-0.010602250562640591,Trend_Break_Stop
603533,2023-05-30,24.21,2023-05-31,28.12,1,0.15990351094589023,Maximum_Holding_Period
603535,2022-05-10,23.8,2022-05-11,25.81,1,0.08285378151260496,Maximum_Holding_Period
603535,2025-04-18,9.47,2025-04-21,9.39,1,-0.010047729672650507,Maximum_Holding_Period
603536,2020-03-23,12.31,2020-03-24,11.6945,1,-0.05160000000000004,Extreme_Risk_Stop
603538,2022-05-10,48.3,2022-05-11,47.75,1,-0.012987163561076497,Trend_Break_Stop
603538,2026-05-21,52.29,2026-05-22,49.6755,1,-0.05160000000000004,Extreme_Risk_Stop
603538,2026-05-22,52.44,2026-05-25,49.818,1,-0.05160000000000004,Extreme_Risk_Stop
603538,2026-08-11,28.6,2026-08-12,33.33,1,0.16378461538461525,Maximum_Holding_Period
603538,2026-08-14,31.65,2026-08-17,30.0675,1,-0.05159999999999993,Extreme_Risk_Stop
603555,2020-06-05,1.92,2020-06-08,1.86,1,-0.032849999999999886,Trend_Break_Stop
603557,2021-04-14,9.25,2021-04-15,9.18,1,-0.009167567567567602,Trend_Break_Stop
603559,2022-05-06,9.1,2022-05-09,9.62,1,0.055542857142857165,Maximum_Holding_Period
603559,2024-12-04,11.21,2024-12-05,11.49,1,0.023377698483496846,Maximum_Holding_Period
603567,2026-07-06,4.74,2026-07-07,4.65,1,-0.02058734177215189,Trend_Break_Stop
603568,2026-06-10,15.53,2026-06-11,16.18,1,0.04025447520927244,Maximum_Holding_Period
603569,2022-05-10,8.6,2022-05-11,8.94,1,0.03793488372093017,Maximum_Holding_Period
